Alpha_deg,H_direct_mm,X_profile_mm,Y_ground_mm
9.819639278557114,722.1234717518485,69.93555820820467,-115.82930840875633
9.959919839679358,728.3650497191188,71.48351906537167,-117.38096975683959
10.100200400801603,734.6028190209204,73.04675688295981,-118.92882243945417
10.240480961923847,740.8367422652427,74.62526229021482,-120.4728290645894
10.380761523046091,747.0667820831304,76.21902582486106,-122.01295226329012
10.521042084168338,753.2929011289074,77.82803793315935,-123.54915468988008
10.661322645290582,759.5150620803998,79.45228896996308,-125.08139902218545
10.801603206412826,765.733227639161,81.09176919877703,-126.60964796175949
10.94188376753507,771.9473605306941,82.74646879181502,-128.13386423410566
11.082164328657315,778.1574235046763,84.41637783005999,-129.65401058890086
11.22244488977956,784.3633793351814,86.1014863033211,-131.17004980021886
11.362725450901804,790.5651908209031,87.80178411029672,-132.68194466675357
11.503006012024048,796.7628207853786,89.51726105863217,-134.18965801204195
11.643286573146293,802.9562320772109,91.2479068649829,-135.69315268468722
11.783567134268537,809.1453875702914,92.99371115507566,-137.19239155858077
11.923847695390782,815.3302501640233,94.75466346376945,-138.68733753312563
12.064128256513026,821.5107827835423,96.5307532351201,-140.17795353345764
12.20440881763527,827.686948379941,98.32196982244187,-141.66420251066927
12.344689378757515,833.8587099304893,100.1283024883724,-143.14604744203052
12.48496993987976,840.0260304388573,101.9497404049371,-144.62345133121153
12.625250501002004,846.1888729353363,103.7862726536132,-146.09637720850355
12.765531062124248,852.3472004770614,105.63788822539543,-147.5647881310416
12.905811623246493,858.5009761482318,107.50457602086283,-149.028647183025
13.046092184368737,864.6501630603329,109.38632485024459,-150.48791747593907
13.186372745490981,870.7947243523574,111.28312343348698,-151.94256214877646
13.326653306613226,876.9346231910257,113.19496040032163,-153.39254436825775
13.46693386773547,883.0698227710072,115.12182429033305,-154.8378273290523
13.607214428857716,889.200286315141,117.06370355302735,-156.278374253999
13.74749498997996,895.325977074656,119.02058654790214,-157.7141483943268
13.887775551102205,901.4468583293908,120.99246154451598,-159.14511302987466
14.02805611222445,907.5628933880153,122.9793167225576,-160.57123146931212
14.168336673346694,913.6740455882491,124.98114017191904,-161.99246705035898
14.308617234468938,919.7802782970818,126.99791989276501,-163.40878314000463
14.448897795591183,925.8815549109933,129.029643795606,-164.82014313472894
14.589178356713427,931.9778388561715,131.07629970136946,-166.2265104607202
14.729458917835672,938.0690935887337,133.13787534147454,-167.62784857409542
14.869739478957916,944.1552825949439,135.21435835790433,-169.02412096111857
15.01002004008016,950.2363693914326,137.30573630328067,-170.41529113842023
15.150300601202405,956.3123175254152,139.41199664093824,-171.80132265321583
15.29058116232465,962.3830905749106,141.53312674499978,-173.18217908352415
15.430861723446894,968.4486521489594,143.66911390045246,-174.557824038386
15.571142284569138,974.5089658878422,145.81994530322274,-175.92822115808178
15.711422845691382,980.5639954632975,147.9856080602549,-177.29333411435005
15.851703406813627,986.6137045787397,150.16608918958667,-178.6531266106051
15.991983967935871,992.6580569694759,152.36137562042794,-180.00756238215433
16.132264529058116,998.6970164029245,154.5714541932388,-181.3566051964159
16.272545090180362,1004.7305466788313,156.7963116598094,-182.70021885313565
16.412825651302605,1010.7586116294865,159.03593468333688,-184.03836718460389
16.55310621242485,1016.7811751199431,161.29030983850862,-185.3710140558734
16.693386773547093,1022.7982010482314,163.55942361158017,-186.69812336497466
16.83366733466934,1028.8096533455766,165.84326240045715,-188.01965904313283
16.973947895791582,1034.8154959766148,168.1418125147769,-189.335585054984
17.11422845691383,1040.815692939609,170.45506017599064,-190.64586539879133
17.25450901803607,1046.8102082666646,172.78299151744574,-191.95046410665987
17.394789579158317,1052.7990060239463,175.12559258446865,-193.2493452447544
17.53507014028056,1058.7820503118905,177.48284933444913,-194.5424729135117
17.675350701402806,1064.7593052654252,179.8547476369242,-195.8298112478592
17.81563126252505,1070.7307350541796,182.24127327366256,-197.11132441742666
17.955911823647295,1076.6963038827037,184.64241193875023,-198.38697662676373
18.09619238476954,1082.6559759906795,187.0581492386761,-199.65673211555236
18.236472945891784,1088.6097156531366,189.4884706924181,-200.92055515882248
18.37675350701403,1094.5574871806675,191.9333617315304,-202.17841006716628
18.517034068136272,1100.499254919639,194.39280770023015,-203.43026118695082
18.65731462925852,1106.434983252408,196.86679385548598,-204.67607290053286
18.79759519038076,1112.3646365975344,199.35530536710604,-205.9158096264722
18.937875751503007,1118.2881794099944,201.85832731782662,-207.14943581974512
19.07815631262525,1124.205576181393,204.3758447034022,-208.3769159719568
19.218436873747496,1130.116791440178,206.9078424326953,-209.59821461155468
19.35871743486974,1136.0217897518514,209.45430532776558,-210.81329630404116
19.498997995991985,1141.9205357191827,212.01521812396356,-212.0221256521853
19.639278557114228,1147.8129939824203,214.59056547001924,-213.2246672962359
19.779559118236474,1153.699129219505,217.18033192813573,-214.42088591413358
19.919839679358716,1159.5789061462797,219.7845019740819,-215.61074622172123
20.060120240480963,1165.4522895167022,222.40305999728488,-216.79421297295664
20.200400801603205,1171.3192441230563,225.03599030092295,-217.97125096012383
20.34068136272545,1177.1797347961624,227.68327710202163,-219.14182501404287
20.480961923847694,1183.033726405589,230.34490453154612,-220.30590000428253
20.62124248496994,1188.881183859863,233.020856634498,-221.46344083936947
20.761523046092183,1194.7220721066792,235.71111737001038,-222.6144124669986
20.90180360721443,1200.5563561331123,238.41567061144298,-223.75877987424462
21.042084168336675,1206.3840009658247,241.13450014648114,-224.89650808777003
21.182364729458918,1212.2049716712777,243.86758967723063,-226.027562174036
21.322645290581164,1218.0192333559405,246.61492282031674,-227.15190723951173
21.462925851703407,1223.8267511664985,249.3764831069817,-228.26950843088275
21.603206412825653,1229.6274902900636,252.15225398318498,-229.38033093526076
21.743486973947896,1235.421415954382,254.94221880969988,-230.48433998039206
21.88376753507014,1241.2084934280424,257.7463608622155,-231.58150083486555
22.024048096192384,1246.9886880206852,260.56466333143646,-232.6717788083214
22.16432865731463,1252.7619650832103,263.3971093231829,-233.75513925165922
22.304609218436873,1258.5282900079833,266.2436818584921,-234.83154755724524
22.44488977955912,1264.2876282290447,269.1043638737216,-235.90096915911954
22.585170340681362,1270.0399452223164,271.9791382206491,-236.9633695332045
22.725450901803608,1275.785206505809,274.8679876665768,-238.01871419750978
22.86573146292585,1281.5233776398275,277.77089489443495,-239.06696871234135
23.006012024048097,1287.2544242271792,280.68784250288473,-240.10809868050592
23.14629258517034,1292.9783119133785,283.6188130064226,-241.14206974751824
23.286573146292586,1298.6950063868544,286.5637888354859,-242.1688476018071
23.42685370741483,1304.4044733791543,289.5227523365575,-243.18839797492
23.567134268537075,1310.1066786651506,292.49568577227234,-244.20068664172936
23.707414829659317,1315.8015880632463,295.482571321522,-245.20567942063803
23.847695390781563,1321.4891674355786,298.4833910795642,-246.2033421737833
23.98797595190381,1327.1693826882242,301.49812705812803,-247.19364080724176
24.128256513026052,1332.842199771404,304.52676118552256,-248.17654127123478
24.2685370741483,1338.507584679687,307.5692753067448,-249.1520095603305
24.40881763527054,1344.165503452193,310.6256511835894,-250.12001171364955
24.549098196392787,1349.8159221727988,313.69587049475695,-251.08051381506812
24.68937875751503,1355.4588069703382,316.77991483596384,-252.03348199342054
24.829659318637276,1361.0941240188085,319.87776572005396,-252.97888242270392
24.96993987975952,1366.7218395375698,322.98940457710785,-253.91668132227824
25.110220440881765,1372.3419197915505,326.1148127545551,-254.84684495707188
25.250501002004007,1377.954331091447,329.253971517285,-255.7693396377815
25.390781563126254,1383.5590397939288,332.40686204776074,-256.68413172107626
25.531062124248496,1389.156012301836,335.57346544613034,-257.5911876097964
25.671342685370742,1394.7452150643846,338.7537627303406,-258.49047375315786
