Alpha_deg,H_flat_mm,H_profile_opt_mm,X_profile_opt_mm,Y_ground_opt_mm,Alpha_inverse_opt
32.825651302605216,1643.642114912786,1643.642114912786,520.2335170808304,0.0,32.82565130260522
33.0060120240481,1650.2755795254843,1650.2755795254843,525.2212208731976,0.0,33.00601202404811
33.186372745490985,1656.8933105629085,1656.8933105629085,530.229781325526,0.0,33.18637274549099
33.36673346693387,1663.4952424486823,1663.4952424486823,535.2591488070213,0.0,33.36673346693388
33.547094188376754,1670.081309762985,1670.081309762985,540.3092734807083,0.0,33.54709418837676
33.72745490981964,1676.6514472432032,1676.6514472432032,545.3801053039256,0.0,33.72745490981965
33.90781563126253,1683.205589784573,1683.205589784573,550.4715940288195,0.0,33.90781563126252
34.08817635270541,1689.7436724408287,1689.7436724408287,555.5836892028436,0.0,34.08817635270542
34.2685370741483,1696.2656304248455,1696.2656304248455,560.7163401692586,0.0,34.268537074148306
34.448897795591186,1702.7713991092794,1702.7713991092794,565.8694960676332,0.0,34.448897795591186
34.629258517034074,1709.2609140272116,1709.2609140272116,571.0431058343491,0.0,34.62925851703409
34.809619238476955,1715.7341108727824,1715.7341108727824,576.2371182031067,0.0,34.80961923847696
34.98997995991984,1722.1909255018334,1722.1909255018334,581.4514817054323,0.0,34.98997995991984
35.17034068136273,1728.6312939325394,1728.6312939325394,586.686144671191,0.0,35.17034068136273
35.35070140280561,1735.0551523460442,1735.0551523460442,591.9410552290934,0.0,35.350701402805626
35.5310621242485,1741.4624370870927,1741.4624370870927,597.2161613072161,0.0,35.5310621242485
35.71142284569139,1747.8530846646613,1747.8530846646613,602.5114106335119,0.0,35.7114228456914
35.89178356713427,1754.2270317525863,1754.2270317525863,607.8267507363312,0.0,35.89178356713427
36.07214428857716,1760.584215190195,1760.584215190195,613.1621289449419,0.0,36.07214428857717
36.252505010020045,1766.924571982926,1766.924571982926,618.5174923900483,0.0,36.25250501002004
36.432865731462925,1773.2480393029582,1773.2480393029582,623.892788004319,0.0,36.432865731462925
36.61322645290581,1779.5545544898314,1779.5545544898314,629.2879625229104,0.0,36.61322645290581
36.7935871743487,1785.8440550510663,1785.8440550510663,634.7029624839947,0.0,36.79358717434871
36.97394789579159,1792.116478662786,1792.116478662786,640.1377342292899,0.0,36.97394789579158
37.15430861723447,1798.3717631703316,1798.3717631703316,645.5922239045917,0.0,37.15430861723448
37.33466933867736,1804.6098465888797,1804.6098465888797,651.0663774603073,0.0,37.334669338677365
37.515030060120246,1810.8306671040546,1810.8306671040546,656.5601406519905,0.0,37.515030060120246
37.69539078156313,1817.0341630725434,1817.0341630725434,662.0734590408792,0.0,37.695390781563134
37.875751503006015,1823.2202730227048,1823.2202730227048,667.6062779944357,0.0,37.87575150300601
38.0561122244489,1829.3889356551786,1829.3889356551786,673.1585426868864,0.0,38.0561122244489
38.236472945891784,1835.5400898434943,1835.5400898434943,678.7301980997671,0.0,38.23647294589179
38.41683366733467,1841.673674634675,1841.673674634675,684.3211890224671,0.0,38.41683366733467
38.59719438877756,1847.7896292498435,1847.7896292498435,689.9314600527752,0.0,38.59719438877756
38.77755511022044,1853.887893084822,1853.887893084822,695.5609555974315,0.0,38.77755511022044
38.95791583166333,1859.9684057107354,1859.9684057107354,701.2096198726762,0.0,38.95791583166333
39.138276553106216,1866.0311068746084,1866.0311068746084,706.8773969048021,0.0,39.13827655310623
39.318637274549104,1872.0759364999622,1872.0759364999622,712.5642305307108,0.0,39.31863727454912
39.498997995991985,1878.1028346874104,1878.1028346874104,718.2700643984674,0.0,39.498997995991985
39.67935871743487,1884.1117417152548,1884.1117417152548,723.9948419678619,0.0,39.67935871743487
39.85971943887776,1890.102598040073,1890.102598040073,729.7385065109654,0.0,39.85971943887777
40.04008016032064,1896.0753442973105,1896.0753442973105,735.5010011126953,0.0,40.04008016032064
40.22044088176353,1902.0299213018704,1902.0299213018704,741.2822686713786,0.0,40.22044088176354
40.40080160320642,1907.9662700486972,1907.9662700486972,747.0822518993167,0.0,40.40080160320641
40.5811623246493,1913.8843317133637,1913.8843317133637,752.9008933233542,0.0,40.58116232464931
40.76152304609219,1919.7840476526517,1919.7840476526517,758.7381352854477,0.0,40.761523046092194
40.941883767535074,1925.6653594051354,1925.6653594051354,764.5939199432385,0.0,40.94188376753508
41.12224448897796,1931.528208691759,1931.528208691759,770.468189270623,0.0,41.12224448897796
41.30260521042084,1937.372537416415,1937.372537416415,776.3608850583311,0.0,41.30260521042085
41.48296593186373,1943.1982876665206,1943.1982876665206,782.2719489145009,0.0,41.48296593186374
41.66332665330662,1949.0054017135894,1949.0054017135894,788.2013222652565,0.0,41.66332665330663
41.8436873747495,1954.7938220138053,1954.7938220138053,794.1489463552917,0.0,41.84368737474952
42.02404809619239,1960.5634912085918,1960.5634912085918,800.1147622484485,0.0,42.02404809619239
42.204408817635276,1966.3143521251818,1966.3143521251818,806.0987108283042,0.0,42.204408817635276
42.38476953907816,1972.0463477771818,1972.0463477771818,812.1007327987545,0.0,42.384769539078164
42.565130260521045,1977.759421365139,1977.759421365139,818.120768684603,0.0,42.56513026052106
42.74549098196393,1983.4535162771015,1983.4535162771015,824.1587588321503,0.0,42.74549098196393
42.92585170340681,1989.1285760891817,1989.1285760891817,830.2146434097838,0.0,42.9258517034068
43.1062124248497,1994.7845445661155,1994.7845445661155,836.2883624085731,0.0,43.1062124248497
43.28657314629259,2000.4213656618172,2000.4213656618172,842.379855642861,0.0,43.286573146292604
43.46693386773548,2006.038983519935,2006.038983519935,848.4890627508632,0.0,43.46693386773547
43.64729458917836,2011.637342474409,2011.637342474409,854.6159231952654,0.0,43.64729458917837
43.827655310621246,2017.2163870500162,2017.2163870500162,860.7603762638224,0.0,43.82765531062124
44.008016032064134,2022.7760619629262,2022.7760619629262,866.9223610699607,0.0,44.00801603206413
44.188376753507015,2028.3163121212442,2028.3163121212442,873.1018165533807,0.0,44.18837675350701
44.3687374749499,2033.8370826255607,2033.8370826255607,879.2986814806636,0.0,44.36873747494991
44.54909819639279,2039.3383187694928,2039.3383187694928,885.5128944458761,0.0,44.5490981963928
