X_local_mm,Y_height_mm,Z_mm
177.57369693693636,5.991259181936584,0.0
179.88451140543793,6.148013515091407,0.0
182.1953986577837,6.306794579834786,0.0
184.50635691640355,6.467602439223356,0.0
186.8173844036678,6.630437154752144,0.0
189.1284793418963,6.795298786360036,0.0
191.43963995335935,6.962187392424767,0.0
193.7508644602708,7.131103029765654,0.0
196.06215108480092,7.302045753642233,0.0
198.37349804906898,7.475015617754707,0.0
200.68490357515066,7.650012674245772,0.0
202.99636588507383,7.827036973695613,0.0
205.30788320082183,8.006088565127811,0.0
207.61945374434117,8.187167496006168,0.0
209.9310757375306,8.370273812232881,0.0
212.24274740225428,8.555407558153092,0.0
214.5544669603355,8.742568776550797,0.0
216.8662326335625,8.931757508652026,0.0
219.1780426436867,9.122973794120753,0.0
221.48989521242447,9.31621767106435,0.0
223.80178856146404,9.51148917602859,0.0
226.1137209124554,9.708788343999004,0.0
228.4256904870249,9.90811520840407,0.0
230.7376955067657,10.109469801109299,0.0
233.04973419324733,10.312852152423602,0.0
235.36180476800973,10.51826229109247,0.0
237.67390545257194,10.72570024430479,0.0
239.986034468428,10.93516603768876,0.0
242.29819003704733,11.146659695311428,0.0
244.6103703798858,11.360181239682333,0.0
246.92257371837377,11.57573069174805,0.0
249.23479827392885,11.793308070898092,0.0
251.54704226794684,12.012913394960833,0.0
253.85930392181353,12.234546680204858,0.0
256.1715814568993,12.458207941338515,0.0
258.4838730945621,12.683897191510368,0.0
260.7961770561483,12.911614442308746,0.0
263.10849156299673,13.1413597037631,0.0
265.4208148364364,13.373132984342192,0.0
267.73314509779084,13.606934290953632,0.0
270.0454805683771,13.842763628948433,0.0
272.35781946950874,14.08062100211282,0.0
274.67016002249784,14.320506412676878,0.0
276.98250044865244,14.562419861308626,0.0
279.2948389692824,14.806361347118127,0.0
281.6071738057012,15.052330867653382,0.0
283.9195031792192,15.300328418902609,0.0
286.23182531115754,15.550353995295609,0.0
288.54413842283884,15.80240758969967,0.0
290.85644073559433,16.056489193425932,0.0
293.16873047076297,16.3125987962203,0.0
295.4810058496928,16.570736386274348,0.0
297.79326509374505,16.83090195021532,0.0
300.10550642429007,17.0930954731125,0.0
302.417728062715,17.35731693847538,0.0
304.72992823042114,17.62356632825231,0.0
307.04210514882607,17.89184362283322,0.0
309.3542570393638,18.162148801045987,0.0
311.6663821234906,18.434481840161425,0.0
313.9784786226828,18.70884271588875,0.0
316.2905447584344,18.985231402377394,0.0
318.6025787522699,19.263647872217007,0.0
320.9145788257315,19.544092096437453,0.0
323.22654320039373,19.826564044509723,0.0
325.5384700978534,20.111063684343662,0.0
327.8503577397396,20.39759098229115,0.0
330.1622043477091,20.68614590314155,0.0
332.4740081434534,20.97672841012809,0.0
334.7857673486933,21.269338464920565,0.0
337.09748018518576,21.563976027631725,0.0
339.40914487472446,21.86064105681544,0.0
341.72075963913767,22.159333509463067,0.0
344.0323227002941,22.460053341008006,0.0
346.34383228010074,22.76280050532523,0.0
348.65528660050813,23.067574954729025,0.0
350.966683883506,23.374376639973434,0.0
353.27802235112904,23.683205510255448,0.0
355.5893002254602,23.99406151321,0.0
357.9005157286233,24.30694459491542,0.0
360.21166708279634,24.62185469988799,0.0
362.5227525102009,24.938791771087836,0.0
364.8337702331155,25.257755749913485,0.0
367.14471847386494,25.578746576204594,0.0
369.45559545483,25.901764188244215,0.0
371.766399398447,26.226808522752435,0.0
374.0771285272067,26.553879514893197,0.0
376.3877810636591,26.882977098270658,0.0
378.69835523041047,27.214101204930557,0.0
381.0088492501327,27.54725176535794,0.0
383.3192613455526,27.882428708482166,0.0
385.6295897394639,28.21963196167144,0.0
387.93983265472525,28.55886145073555,0.0
390.2499883142591,28.90011709992723,0.0
392.5600549410551,29.24339883193852,0.0
394.87003075817256,29.588706567904865,0.0
397.1799139887412,29.936040227401463,0.0
399.4897028559585,30.285399728446464,0.0
401.7993955830989,30.636784987501414,0.0
404.1089903935076,30.990195919463986,0.0
406.41848551060775,31.34563243768025,0.0
408.72787915789695,31.703094453933318,0.0
411.0371695589506,32.0625818784506,0.0
413.34635493742644,32.42409461990155,0.0
415.65543351705946,32.78763258539675,0.0
417.96440352166974,33.15319568048835,0.0
420.27326317515826,33.520783809173736,0.0
422.5820107015147,33.890396873890495,0.0
424.8906443248097,34.26203477551644,0.0
427.1991622692053,34.63569741337642,0.0
429.5075627589531,35.01138468523504,0.0
431.8158440183911,35.38909648729987,0.0
434.1240042719528,35.76883271422048,0.0
436.43204174416223,36.15059325909124,0.0
438.7399546596416,36.53437801344853,0.0
441.04774124310416,36.92018686727033,0.0
443.3553997193617,37.30801970897892,0.0
445.6629283133284,37.69787642543952,0.0
